## Name:ideal3_shmip
## Icon:0
# Points Count Value
5706 1.000000
# X pos Y pos
399.066511 354.813580
400.066678 -355.019199
400.066678 355.019199
401.066844 -355.224343
401.066844 355.224343
402.067011 -355.429244
402.067011 355.429244
403.067178 -355.633902
403.067178 355.633902
404.067345 -355.838319
404.067345 355.838319
405.067511 -356.041449
405.067511 356.041449
406.067678 -356.244241
406.067678 356.244241
407.067845 -356.446796
407.067845 356.446796
408.068011 -356.649113
408.068011 356.649113
409.068178 -356.851194
409.068178 356.851194
410.068345 -357.051941
410.068345 357.051941
411.068511 -357.252423
411.068511 357.252423
412.068678 -357.452672
412.068678 357.452672
413.068845 -357.652689
413.068845 357.652689
414.069012 -357.852473
414.069012 357.852473
415.069178 -358.050944
415.069178 358.050944
416.069345 -358.249155
416.069345 358.249155
417.069512 -358.447137
417.069512 358.447137
418.069678 -358.644892
418.069678 358.644892
419.069845 -358.842420
419.069845 358.842420
420.070012 -359.038715
420.070012 359.038715
421.070178 -359.234694
421.070178 359.234694
422.070345 -359.430449
422.070345 359.430449
423.070512 -359.625981
423.070512 359.625981
424.070678 -359.821291
424.070678 359.821291
425.070845 -360.015509
425.070845 360.015509
426.071012 -360.209294
426.071012 360.209294
427.071179 -360.402860
427.071179 360.402860
428.071345 -360.596206
428.071345 360.596206
429.071512 -360.789334
429.071512 360.789334
430.071679 -360.981573
430.071679 360.981573
431.071845 -361.173201
431.071845 361.173201
432.072012 -361.364613
432.072012 361.364613
433.072179 -361.555811
433.072179 361.555811
434.072345 -361.746794
434.072345 361.746794
435.072512 -361.937147
435.072512 361.937147
436.072679 -362.126653
436.072679 362.126653
437.072845 -362.315948
437.072845 362.315948
438.073012 -362.505033
438.073012 362.505033
439.073179 -362.693908
439.073179 362.693908
440.073346 -362.882466
440.073346 362.882466
441.073512 -363.069886
441.073512 363.069886
442.073679 -363.257099
442.073679 363.257099
443.073846 -363.444106
443.073846 363.444106
444.074012 -363.630907
444.074012 363.630907
445.074179 -363.817503
445.074179 363.817503
446.074346 -364.003126
446.074346 364.003126
447.074512 -364.188292
447.074512 364.188292
448.074679 -364.373255
448.074679 364.373255
449.074846 -364.558017
449.074846 364.558017
450.075013 -364.742577
450.075013 364.742577
451.075179 -364.926597
451.075179 364.926597
452.075346 -365.109748
452.075346 365.109748
453.075513 -365.292702
453.075513 365.292702
454.075679 -365.475457
454.075679 365.475457
455.075846 -365.658014
455.075846 365.658014
456.076013 -365.840375
456.076013 365.840375
457.076179 -366.021685
457.076179 366.021685
458.076346 -366.202661
458.076346 366.202661
459.076513 -366.383442
459.076513 366.383442
460.076679 -366.564030
460.076679 366.564030
461.076846 -366.744424
461.076846 366.744424
462.077013 -366.924312
462.077013 366.924312
463.077180 -367.103342
463.077180 367.103342
464.077346 -367.282182
464.077346 367.282182
465.077513 -367.460831
465.077513 367.460831
466.077680 -367.639291
466.077680 367.639291
467.077846 -367.817562
467.077846 367.817562
468.078013 -367.994951
468.078013 367.994951
469.078180 -368.171880
469.078180 368.171880
470.078346 -368.348623
470.078346 368.348623
471.078513 -368.525179
471.078513 368.525179
472.078680 -368.701550
472.078680 368.701550
473.078846 -368.877688
473.078846 368.877688
474.079013 -369.052737
474.079013 369.052737
475.079180 -369.227603
475.079180 369.227603
476.079347 -369.402286
